sequence,depth,T_HW_ms,cycles,MMAC,weights,bottlenecks,block_cycles,hw_feasible_on_bitstream,infeasible_at
16-48-16-16-64-64,6,18.018320,1801832,176.947200,8427,PW-DW-DW-PW-PW-PW,518400/469300/356932/54000/122400/280800,1,
16-64-64-32-64,5,18.040680,1804068,223.257600,10875,PW-PW-DW-PW-PW,518400/489600/475668/154800/165600,0,b3 G*Cin=2560
16-16-64-48-48-64,6,18.085000,1808500,199.526400,11531,PW-DW-PW-PW-PW-PW,518400/469300/122400/266400/208800/223200,1,
16-32-32-48-48-64,6,18.090960,1809096,190.080000,10107,PW-DW-DW-PW-PW-PW,518400/469300/238196/151200/208800/223200,1,
16-64-16-48-64,5,18.094680,1809468,171.187200,7259,PW-PW-DW-PW-PW,518400/489600/475668/102600/223200,0,b3 G*Cin=2560
16-48-64-16-48-64,6,18.108320,1810832,206.899200,10507,PW-DW-DW-PW-PW-PW,518400/469300/356932/140400/102600/223200,1,
16-64-48-32-16-64,6,18.148680,1814868,193.766400,8827,PW-PW-DW-PW-PW-PW,518400/489600/475668/126000/82800/122400,0,b3 G*Cin=2560
16-64-16-32-32-64,6,18.148680,1814868,169.574400,7147,PW-PW-DW-PW-PW-PW,518400/489600/475668/68400/97200/165600,0,b3 G*Cin=2560
16-48-32-32-48-64,6,18.162320,1816232,193.766400,9595,PW-DW-DW-PW-PW-PW,518400/469300/356932/97200/151200/223200,1,
16-16-48-48-64-64,6,18.199600,1819960,210.585600,12299,PW-DW-DW-PW-PW-PW,518400/469300/119460/208800/223200/280800,1,
16-16-48-64-48-64,6,18.199600,1819960,206.899200,12043,PW-DW-DW-PW-PW-PW,518400/469300/119460/223200/266400/223200,1,
16-64-16-48-16-64,6,18.202680,1820268,154.828800,6123,PW-PW-DW-PW-PW-PW,518400/489600/475668/102600/111600/122400,0,b3 G*Cin=2560
16-32-64-32-64-64,6,18.270960,1827096,227.404800,12699,PW-DW-DW-PW-PW-PW,518400/469300/238196/154800/165600/280800,1,
16-32-64-64-32-64,6,18.270960,1827096,227.404800,12699,PW-DW-DW-PW-PW-PW,518400/469300/238196/280800/154800/165600,1,
16-64-48-16-32-64,6,18.292680,1829268,197.452800,9083,PW-PW-DW-PW-PW-PW,518400/489600/475668/111600/68400/165600,0,b3 G*Cin=2560
16-48-32-64-32-64,6,18.306320,1830632,203.212800,10251,PW-DW-DW-PW-PW-PW,518400/469300/356932/165600/154800/165600,1,
16-48-48-64-16-64,6,18.306320,1830632,199.526400,9995,PW-DW-DW-PW-PW-PW,518400/469300/356932/223200/140400/122400,1,
16-48-32-16-64-64,6,18.306320,1830632,193.766400,9595,PW-DW-DW-PW-PW-PW,518400/469300/356932/82800/122400/280800,1,
16-32-16-48-64-64,6,18.324960,1832496,197.452800,10619,PW-DW-DW-PW-PW-PW,518400/469300/238196/102600/223200/280800,1,
16-48-64-48-64,5,18.342320,1834232,223.257600,11643,PW-DW-DW-PW-PW,518400/469300/356932/266400/223200,1,
16-16-32-64-64-64,6,18.343600,1834360,217.958400,12811,PW-DW-DW-PW-PW-PW,518400/469300/119460/165600/280800/280800,1,
16-32-16-64-48-64,6,18.378960,1837896,186.393600,9851,PW-DW-DW-PW-PW-PW,518400/469300/238196/122400/266400/223200,1,
16-64-64-32-16-64,6,18.436680,1843668,217.958400,10507,PW-PW-DW-PW-PW-PW,518400/489600/475668/154800/82800/122400,0,b3 G*Cin=2560
16-64-32-32-32-64,6,18.436680,1843668,193.766400,8827,PW-PW-DW-PW-PW-PW,518400/489600/475668/97200/97200/165600,0,b3 G*Cin=2560
16-48-48-32-48-64,6,18.450320,1845032,214.272000,11019,PW-DW-DW-PW-PW-PW,518400/469300/356932/126000/151200/223200,1,
16-48-48-48-32-64,6,18.450320,1845032,210.585600,10763,PW-DW-DW-PW-PW-PW,518400/469300/356932/208800/126000/165600,1,
16-48-64-48-16-64,6,18.450320,1845032,206.899200,10507,PW-DW-DW-PW-PW-PW,518400/469300/356932/266400/111600/122400,1,
16-48-48-64-64,5,18.486320,1848632,226.944000,11899,PW-DW-DW-PW-PW,518400/469300/356932/223200/280800,1,
16-64-64-16-32-64,6,18.580680,1858068,217.958400,10507,PW-PW-DW-PW-PW-PW,518400/489600/475668/140400/68400/165600,0,b3 G*Cin=2560
16-64-32-48-64,5,18.580680,1858068,199.065600,9195,PW-PW-DW-PW-PW,518400/489600/475668/151200/223200,0,b3 G*Cin=2560
16-48-48-16-64-64,6,18.594320,1859432,210.585600,10763,PW-DW-DW-PW-PW-PW,518400/469300/356932/111600/122400/280800,1,
16-48-16-32-64-64,6,18.594320,1859432,197.452800,9851,PW-DW-DW-PW-PW-PW,518400/469300/356932/68400/165600/280800,1,
16-64-16-16-48-64,6,18.634680,1863468,176.947200,7659,PW-PW-DW-PW-PW-PW,518400/489600/475668/54000/102600/223200,0,b3 G*Cin=2560
16-32-48-48-48-64,6,18.666960,1866696,210.585600,11531,PW-DW-DW-PW-PW-PW,518400/469300/238196/208800/208800/223200,1,
16-64-32-48-16-64,6,18.688680,1868868,182.707200,8059,PW-PW-DW-PW-PW-PW,518400/489600/475668/151200/111600/122400,0,b3 G*Cin=2560
16-64-16-64-16-64,6,18.688680,1868868,164.275200,6779,PW-PW-DW-PW-PW-PW,518400/489600/475668/122400/140400/122400,0,b3 G*Cin=2560
16-64-48-32-32-64,6,18.724680,1872468,217.958400,10507,PW-PW-DW-PW-PW-PW,518400/489600/475668/126000/97200/165600,0,b3 G*Cin=2560
16-48-64-32-48-64,6,18.738320,1873832,234.777600,12443,PW-DW-DW-PW-PW-PW,518400/469300/356932/154800/151200/223200,1,
16-64-16-48-32-64,6,18.778680,1877868,182.707200,8059,PW-PW-DW-PW-PW-PW,518400/489600/475668/102600/126000/165600,0,b3 G*Cin=2560
16-48-16-48-48-64,6,18.792320,1879232,190.080000,9339,PW-DW-DW-PW-PW-PW,518400/469300/356932/102600/208800/223200,1,
16-16-64-48-64-64,6,18.805000,1880500,227.404800,13467,PW-DW-PW-PW-PW-PW,518400/469300/122400/266400/223200/280800,1,
16-16-64-64-48-64,6,18.805000,1880500,227.404800,13467,PW-DW-PW-PW-PW-PW,518400/469300/122400/280800/266400/223200,1,
16-32-32-48-64-64,6,18.810960,1881096,217.958400,12043,PW-DW-DW-PW-PW-PW,518400/469300/238196/151200/223200/280800,1,
16-32-32-64-48-64,6,18.810960,1881096,210.585600,11531,PW-DW-DW-PW-PW-PW,518400/469300/238196/165600/266400/223200,1,
